Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
183,"S Landi Jr, IR Segundo, E Freitas, M Vasilevskiy…","Use and misuse of the Kubelka-Munk function to obtain the band gap energy from diffuse reflectance measurements",2022,"Solid state …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0038109821003574","https://scholar.google.com/scholar?cites=197169705475681240&as_sdt=2005&sciodt=2007&hl=en",1,"2024-02-09 13:10:22","","","","",,,,,183,91.50,37,5,2,"… In this context, the classical Kubelka-Munk (KM) model has … Initially, Paul Kubelka and Franz Munk proposed a theoretical … the plot of the Kubelka-Munk function versus incident photon …","http://repositorium.uminho.pt/bitstream/1822/75046/1/FINAL.pdf","https://scholar.google.com/scholar?q=related:2KtYb818vAIJ:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
446,"L Yang, B Kruse","Revised Kubelka–Munk theory. I. Theory and application",2004,"JOSA A","opg.optica.org","https://opg.optica.org/abstract.cfm?uri=josaa-21-10-1933","https://scholar.google.com/scholar?cites=18431784045948996185&as_sdt=2005&sciodt=2007&hl=en",2,"2024-02-09 13:10:22","","","","",,,,,446,22.30,223,2,20,"Using a statistical analysis of light propagation in media, we propose a revision to Kubelka–Munk (K–M) theory by taking into account the effect of scattering on the path length of light …","https://www.academia.edu/download/34493233/I.Kubelka_-_munk_theory.pdf","https://scholar.google.com/scholar?q=related:WYqAG-_Zyv8J:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
55,"R Alcaraz de la Osa, I Iparragirre, D Ortiz, JM Saiz","The extended Kubelka–Munk theory and its application to spectroscopy",2020,"ChemTexts","Springer","https://link.springer.com/article/10.1007/s40828-019-0097-0","https://scholar.google.com/scholar?cites=13020206773512464249&as_sdt=2005&sciodt=2007&hl=en",3,"2024-02-09 13:10:22","","10.1007/s40828-019-0097-0","","",,,,,55,13.75,14,4,4,"The Kubelka–Munk theory is one of the main theories of light flux through homogeneous isotropic media. In this work, we used the extended solution of this theory, applied to a …","","https://scholar.google.com/scholar?q=related:eWdYlRMRsbQJ:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
281,"WE Vargas, GA Niklasson","Applicability conditions of the Kubelka–Munk theory",1997,"Applied optics","opg.optica.org","https://opg.optica.org/abstract.cfm?uri=ao-36-22-5580","https://scholar.google.com/scholar?cites=12274968918829583350&as_sdt=2005&sciodt=2007&hl=en",4,"2024-02-09 13:10:22","","","","",,,,,281,10.41,141,2,27,"The description of optical properties of light-scattering materials has made extensive use of radiative transfer models. One of the most successful and simplest models is that of Kubelka …","https://www.academia.edu/download/50141809/AO.36.00558020161106-22741-yid3j0.pdf","https://scholar.google.com/scholar?q=related:9kvMMzJzWaoJ:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
126,"ZC Orel, MK Gunde, B Orel","Application of the Kubelka-Munk theory for the determination of the optical properties of solar absorbing paints",1997,"Progress in Organic Coatings","Elsevier","https://www.sciencedirect.com/science/article/pii/S0300944096006595","https://scholar.google.com/scholar?cites=11546502366754490655&as_sdt=2005&sciodt=2007&hl=en",5,"2024-02-09 13:10:22","","","","",,,,,126,4.67,42,3,27,"… The Kubelka-Munk absorption and scattering coefficients of all considered paints are determined. The relation between the degree of dispersion in the paint and Kubelka-Munk …","https://www.academia.edu/download/32207870/1-s2.0-S0300944096006595-main.pdf","https://scholar.google.com/scholar?q=related:H8mbALpqPaAJ:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
146,"SS Abdullahi, S Güner, Y Musa, BI Adamu…","Sımple method for the determınatıon of band gap of a nanopowdered sample usıng Kubelka Munk theory",2016,"NAMP J","researchgate.net","https://www.researchgate.net/profile/Bala-Adamu/publication/305810656_Simple_Method_For_The_Determination_of_Band_Gap_of_a_Nanopowdered_Sample_Using_Kubelka_Munk_Theory/links/57a2f3e408aeb16048366032/Simple-Method-For-The-Determination-of-Band-Gap-of-a-Nanopowdered-Sample-Using-Kubelka-Munk-Theory.pdf","https://scholar.google.com/scholar?cites=3930544471552948721&as_sdt=2005&sciodt=2007&hl=en",6,"2024-02-09 13:10:22","PDF","","","",,,,,146,18.25,29,5,8,"… In this case, considering the scattering coefficient S as constant with respect to wavelength, the kubelka munk function is proportional to the absorption coefficient α [15], applying eq.(2) …","https://www.researchgate.net/profile/Bala-Adamu/publication/305810656_Simple_Method_For_The_Determination_of_Band_Gap_of_a_Nanopowdered_Sample_Using_Kubelka_Munk_Theory/links/57a2f3e408aeb16048366032/Simple-Method-For-The-Determination-of-Band-Gap-of-a-Nanopowdered-Sample-Using-Kubelka-Munk-Theory.pdf","https://scholar.google.com/scholar?q=related:8fnJOF8ZjDYJ:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
181,"ML Myrick, MN Simcock, M Baranowski…","The Kubelka-Munk diffuse reflectance formula revisited",2011,"Applied Spectroscopy …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/05704928.2010.537004","https://scholar.google.com/scholar?cites=10278107318130347066&as_sdt=2005&sciodt=2007&hl=en",7,"2024-02-09 13:10:22","","10.1080/05704928.2010.537004","","",,,,,181,13.92,45,4,13,"We use an integral equation approach to finding the Kubelka-Munk (KM) diffuse reflectance formula and extend the result by finding the apparent path length and total intensity …","","https://scholar.google.com/scholar?q=related:OoyAbCYso44J:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
377,"V Barrón, J Torrent","Use of the Kubelka—Munk theory to study the influence of iron oxides on soil colour",1986,"Journal of Soil Science","Wiley Online Library","https://bsssjournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2389.1986.tb00382.x","https://scholar.google.com/scholar?cites=5894698491375926828&as_sdt=2005&sciodt=2007&hl=en",8,"2024-02-09 13:10:22","","10.1111/j.1365-2389.1986.tb00382.x","","",,,,,377,9.92,189,2,38,"… The present study examines the application of the Kubelka-Munk … However, we felt that the use of the Kubelka-Munk theory … This paper reports on the usefulness of the Kubelka-Munk …","","https://scholar.google.com/scholar?q=related:LD5-5AstzlEJ:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
26,"VDMŽ Barbarić-Mikočević, K Itrić","Kubelka-Munk theory in describing optical properties of paper (I)",2011,"Technical Gazette","researchgate.net","https://www.researchgate.net/profile/Katarina-Itric-Ivanda/publication/279555806_Kubelka-Munk_theory_in_describing_optical_properties_of_paper_I_Kubelka-Munk_teorija_u_opisivanju_optickih_svojstava_papira_I/links/5a0aa099a6fdcc2736dec194/Kubelka-Munk-theory-in-describing-optical-properties-of-paper-I-Kubelka-Munk-teorija-u-opisivanju-optickih-svojstava-papira-I.pdf","https://scholar.google.com/scholar?cites=2442409924896750262&as_sdt=2005&sciodt=2007&hl=en",9,"2024-02-09 13:10:22","PDF","","","",,,,,26,2.00,13,2,13,"… Kubelka and Munk proposed, as Schuster had (this work was not known to Kubelka and Munk), a system of differential equations based on the model of light propagation in dull colored …","https://www.researchgate.net/profile/Katarina-Itric-Ivanda/publication/279555806_Kubelka-Munk_theory_in_describing_optical_properties_of_paper_I_Kubelka-Munk_teorija_u_opisivanju_optickih_svojstava_papira_I/links/5a0aa099a6fdcc2736dec194/Kubelka-Munk-theory-in-describing-optical-properties-of-paper-I-Kubelka-Munk-teorija-u-opisivanju-optickih-svojstava-papira-I.pdf","https://scholar.google.com/scholar?q=related:tvpb4eIu5SEJ:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
56,"V Džimbeg-Malčić, Ž Barbarić-Mikočević, K Itrić","Kubelka-Munk theory in describing optical properties of paper (II)",2012,"Tehnički vjesnik","hrcak.srce.hr","https://hrcak.srce.hr/clanak/117669","https://scholar.google.com/scholar?cites=6649218364898034525&as_sdt=2005&sciodt=2007&hl=en",10,"2024-02-09 13:10:22","","","","",,,,,56,4.67,19,3,12,"… on the application of the KubelkaMunk theory to diffuse … very complex, and the KubelkaMunk model oversimplifies the … The Kubelka-Munk model cannot provide information about the …","https://hrcak.srce.hr/file/117669","https://scholar.google.com/scholar?q=related:XUPAsd_ERlwJ:scholar.google.com/&scioq=intitle:kubelka+intitle:munk&hl=en&as_sdt=2007"
